assetType,assetId,name,dateUpdated,contentSource,dateCreated,fileSize,gsisId,mCPID,dateTimeString,playId,originalFilename,assetOwner,dCLAssetType,aWSStatus,categories,contentType,dateUploadedToAWS,deliveredToMCP,gameID,timeCreated,season,arvatoAssetId,week,weekType,homeTeam,visitorTeam,closedCaptionAsset,cCFile,containsCC
video,5497538,58742_3091_NO  2-6  NO 33_Endzone,2023-02-14T15:11:14,NFL League Office,2021-12-27T20:13:03,12061770,58742,1295145,2021-12-27T22:35:01.000-05:00,3091,058742_003091_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497534,58742_3091_NO  2-6  NO 33_Broadcast,2023-02-14T15:11:11,NFL League Office,2021-12-27T20:12:00,22786006,58742,1295396,2021-12-27T22:35:01.000-05:00,3091,058742_003091_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497530,58742_3062_NO  1-10  NO 29_Sideline,2023-02-14T15:11:09,NFL League Office,2021-12-27T20:11:54,12047983,58742,1295313,2021-12-27T22:34:31.000-05:00,3062,058742_003062_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497532,58742_3062_NO  1-10  NO 29_Endzone,2023-02-14T15:11:10,NFL League Office,2021-12-27T20:11:55,12000273,58742,1295058,2021-12-27T22:34:31.000-05:00,3062,058742_003062_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497528,58742_3062_NO  1-10  NO 29_Broadcast,2023-02-14T15:11:08,NFL League Office,2021-12-27T20:11:51,22685515,58742,1295316,2021-12-27T22:34:31.000-05:00,3062,058742_003062_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497524,58742_3043_MIA  4-1  MIA 28_Sideline,2023-02-14T15:11:05,NFL League Office,2021-12-27T20:11:48,18020600,58742,1295224,2021-12-27T22:33:39.000-05:00,3043,058742_003043_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497526,58742_3043_MIA  4-1  MIA 28_Endzone,2023-02-14T15:11:07,NFL League Office,2021-12-27T20:11:49,17955431,58742,1295142,2021-12-27T22:33:39.000-05:00,3043,058742_003043_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497522,58742_3043_MIA  4-1  MIA 28_Broadcast,2023-02-14T15:11:04,NFL League Office,2021-12-27T20:11:44,34076493,58742,1295395,2021-12-27T22:33:39.000-05:00,3043,058742_003043_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497498,58742_3022_MIA  3-2  MIA 27_Sideline,2023-02-14T15:11:01,NFL League Office,2021-12-27T20:11:39,15072409,58742,1295054,2021-12-27T22:32:51.000-05:00,3022,058742_003022_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497520,58742_3022_MIA  3-2  MIA 27_Endzone,2023-02-14T15:11:03,NFL League Office,2021-12-27T20:11:42,15074220,58742,1295055,2021-12-27T22:32:51.000-05:00,3022,058742_003022_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497496,58742_3022_MIA  3-2  MIA 27_Broadcast,2023-02-14T15:11:00,NFL League Office,2021-12-27T20:11:38,28407733,58742,1295308,2021-12-27T22:32:51.000-05:00,3022,058742_003022_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497492,58742_3001_MIA  2-6  MIA 23_Sideline,2023-02-14T15:10:58,NFL League Office,2021-12-27T20:11:32,10080609,58742,1295221,2021-12-27T22:32:10.000-05:00,3001,058742_003001_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
